id,code
0,"public static void main(String[] args){   int a = num >= 0 ? 1 : 2;
  String fileName=""A-small-attempt1.in"";
  try (BufferedReader br=new BufferedReader(new FileReader(fileName))){
    try (BufferedWriter bw=new BufferedWriter(new FileWriter(fileName + "".out""))){
      int tests=Integer.valueOf(br.readLine());
      for (int test=1; test <= tests; ++test) {
        Scanner scanner=new Scanner(br.readLine());
        int nn=scanner.nextInt();
        int rr=scanner.nextInt();
        int pp=scanner.nextInt();
        int ss=scanner.nextInt();
        List<String> res=new ArrayList<>();
        start:         for (int start=0; start <= 2; ++start) {
          int n=nn;
          int r=rr;
          int p=pp;
          int s=ss;
          int prevLen=1;
          char prev[]=new char[prevLen];
          if (start == 0)           prev[0]='P';
          if (start == 1)           prev[0]='R';
          if (start == 2)           prev[0]='S';
          int curLen;
          while (n-- > 0) {
            curLen=prevLen * 2;
            char cur[]=new char[curLen];
            for (int i=0; i < prevLen; ++i) {
              if (prev[i] == 'P') {
                cur[i * 2]='P';
                cur[i * 2 + 1]='R';
              }
 else               if (prev[i] == 'R') {
                if (n == 0) {
                  cur[i * 2]='R';
                  cur[i * 2 + 1]='S';
                }
 else {
                  cur[i * 2]='S';
                  cur[i * 2 + 1]='R';
                }
              }
 else               if (prev[i] == 'S') {
                if (n >= 2) {
                  cur[i * 2]='S';
                  cur[i * 2 + 1]='P';
                }
 else {
                  cur[i * 2]='P';
                  cur[i * 2 + 1]='S';
                }
              }
            }
            prevLen=curLen;
            prev=cur;
          }
          int a=1;
          for (          char c : prev) {
            if ('P' == c)             --p;
            if ('R' == c)             --r;
            if ('S' == c)             --s;
            if (p < 0 || s < 0 || r < 0)             continue start;
          }
          res.add(new String(prev));
        }
        bw.write(""Case #"" + test + "": "");
        if (res.isEmpty())         bw.write(""IMPOSSIBLE"");
 else {
          String result=null;
          for (          String s : res) {
            if (result == null)             result=s;
 else {
              if (result.compareTo(s) > 0)               result=s;
            }
          }
          bw.write(result);
        }
        bw.write(""\n"");
      }
      bw.close();
    }
   }
 catch (  IOException e) {
    e.printStackTrace();
  }
}"
1,public static void main(String args[]) throws IOException
2,"public static void main(String[] args) throws Exception {
  String filePrefix=args.length > 0 ? args[0] : ""A-large"";
  try {
    A r=new A();
    r.sc=new Scanner(new FileReader(filePrefix + "".in""));
    r.pw=new PrintWriter(new FileWriter(filePrefix + "".out""));
    int ntest=r.sc.nextInt();
    for (int test=1; test <= ntest; test++) {
      Scanner sc=r.sc;
      r.N=sc.nextInt();
      for (int i=0; i < 3; i++)       r.p[i]=sc.nextInt();
      r.pw.print(""Case #"" + test + "": "");
      System.out.print(""Case #"" + test + "": "");
      int SIZE=1 << r.N;
      char[] C={'R','P','S'};
      char[] ans=null;
      for (int i=0; i < 3; i++) {
        int[] win=new int[SIZE * 2 - 1];
        win[0]=i;
        for (int j=0; j < SIZE - 1; j++) {
          win[j * 2 + 1]=win[j];
          win[j * 2 + 2]=(win[j] + 2) % 3;
        }
        int[] cnt=new int[3];
        char[] ini=new char[SIZE];
        for (int j=0; j < SIZE; j++) {
          cnt[win[SIZE - 1 + j]]++;
          ini[j]=C[win[SIZE - 1 + j]];
        }
        boolean ok=true;
        for (int j=0; j < 3; j++)         if (cnt[j] != r.p[j])         ok=false;
        if (!ok)         continue;
        for (int j=0; j < r.N; j++) {
          for (int k=0; k < SIZE; k+=1 << (j + 1)) {
            boolean rev=false;
            for (int l=0; l < 1 << j; l++) {
              if (ini[k + l] > ini[k + (1 << j) + l]) {
                rev=true;
                break;
              }
            }
            if (rev) {
              for (int l=0; l < 1 << j; l++) {
                char temp=ini[k + l];
                ini[k + l]=ini[k + (1 << j) + l];
                ini[k + (1 << j) + l]=temp;
              }
            }
          }
        }
        if (ans == null || String.valueOf(ini).compareTo(String.valueOf(ans)) < 0)         ans=ini;
      }
      Object s=ans == null ? ""IMPOSSIBLE"" : String.valueOf(ans);
      r.pw.println(s);
      System.out.println(s);
    }
    System.out.println(""Finished."");
    r.sc.close();
    r.pw.close();
  }
 catch (  Exception e) {
    System.err.println(e);
  }
}"
3,"public static void main(String[] args) throws IOException {
  Scanner kb=new Scanner(System.in);
  PrintWriter out=new PrintWriter(new FileWriter(""showdown.out""));
  int[][][] solutions=new int[13][3][3];
  solutions[0][0][0]=1;
  solutions[0][1][1]=1;
  solutions[0][2][2]=1;
  String[][] answers=new String[13][3];
  answers[0][0]=""P"";
  answers[0][1]=""R"";
  answers[0][2]=""S"";
  for (int i=1; i <= 12; i++) {
    for (int j=0; j < 3; j++) {
      solutions[i][j][0]=solutions[i - 1][j][0] + solutions[i - 1][j][2];
      solutions[i][j][1]=solutions[i - 1][j][1] + solutions[i - 1][j][0];
      solutions[i][j][2]=solutions[i - 1][j][2] + solutions[i - 1][j][1];
    }
    answers[i][0]=minString(answers[i - 1][0],answers[i - 1][1]);
    answers[i][1]=minString(answers[i - 1][1],answers[i - 1][2]);
    answers[i][2]=minString(answers[i - 1][2],answers[i - 1][0]);
  }
  int cases=kb.nextInt();
  for (int n=0; n < cases; n++) {
    out.print(""Case #"" + (n + 1) + "": "");
    int N=kb.nextInt();
    int r=kb.nextInt();
    int p=kb.nextInt();
    int s=kb.nextInt();
    boolean found=false;
    for (int j=0; j < 3; j++) {
      if (solutions[N][j][0] == p && solutions[N][j][1] == r && solutions[N][j][2] == s) {
        out.print(answers[N][j]);
        found=true;
      }
    }
    if (!found)     out.print(""IMPOSSIBLE"");
    out.println();
  }
  out.close();
}"
4,"public static void main(String[] args) throws IOException {
  Scanner qwe=new Scanner(new File(""A.in""));
  int T=qwe.nextInt();
  int p=0;
  int r=1;
  int s=2;
  int[][][] am=new int[13][3][3];
  int[][] ordering=new int[13][3];
  String[][] str=new String[13][3];
  for (int i=0; i < 3; i++)   am[0][i][i]=1;
  ordering[0][p]=0;
  ordering[0][r]=1;
  ordering[0][s]=2;
  str[0][p]=""P"";
  str[0][r]=""R"";
  str[0][s]=""S"";
  for (int lvl=1; lvl < 13; lvl++) {
    for (int i=0; i < 3; i++) {
      for (int j=0; j < 3; j++)       am[lvl][i][j]=am[lvl - 1][(i + 1) % 3][j] + am[lvl - 1][i][j];
    }
    for (int i=0; i < 3; i++) {
      ordering[lvl][i]=ordering[lvl - 1][i] + ordering[lvl - 1][(i + 1) % 3] - 1;
      String a=str[lvl - 1][i] + str[lvl - 1][(i + 1) % 3];
      String b=str[lvl - 1][(i + 1) % 3] + str[lvl - 1][i];
      if (a.compareTo(b) < 0) {
        str[lvl][i]=a;
      }
 else       str[lvl][i]=b;
    }
  }
  for (int cse=1; cse <= T; cse++) {
    int N=qwe.nextInt();
    int R=qwe.nextInt();
    int P=qwe.nextInt();
    int S=qwe.nextInt();
    boolean pos=false;
    int best=3;
    String ans="""";
    for (int i=0; i < 3; i++) {
      int next=ordering[N][i];
      if (next < best) {
        if (am[N][i][p] == P && am[N][i][r] == R && am[N][i][s] == S) {
          ans=str[N][i];
          best=next;
          pos=true;
        }
      }
    }
    if (pos)     System.out.println(""Case #"" + cse + "": ""+ ans);
 else {
      System.out.println(""Case #"" + cse + "": IMPOSSIBLE"");
    }
  }
  qwe.close();
}"
5,"public static void main(String[] args) throws NumberFormatException, IOException {
  Scanner in=new Scanner(new BufferedReader(new InputStreamReader(System.in)));
  int numCases=Integer.parseInt(in.nextLine());
  for (int caseNum=1; caseNum <= numCases; caseNum++) {
    String line=in.nextLine();
    Scanner sc=new Scanner(line);
    int n=Integer.parseInt(sc.next());
    int r=Integer.parseInt(sc.next());
    int p=Integer.parseInt(sc.next());
    int s=Integer.parseInt(sc.next());
    int[] test=new int[3];
    test[0]=1;
    test[1]=1;
    for (int i=1; i < n; i++) {
      int[] nextStep=new int[3];
      nextStep[0]=test[0] + test[2];
      nextStep[1]=test[1] + test[0];
      nextStep[2]=test[1] + test[2];
      test[0]=nextStep[0];
      test[1]=nextStep[1];
      test[2]=nextStep[2];
    }
    ArrayList<String> round=new ArrayList<String>();
    if (test[0] == p && test[1] == r && test[2] == s) {
      round.add(""PR"");
    }
 else     if (test[0] == r && test[1] == s && test[2] == p) {
      round.add(""RS"");
    }
 else     if (test[0] == s && test[1] == p && test[2] == r) {
      round.add(""PS"");
    }
 else {
      System.out.println(""Case #"" + caseNum + "": ""+ ""IMPOSSIBLE"");
      continue;
    }
    for (int i=1; i < n; i++) {
      ArrayList<String> nextRound=new ArrayList<String>();
      for (int j=0; j < round.size(); j++) {
        if (round.get(j).equals(""PR"")) {
          nextRound.add(""PR"");
          nextRound.add(""RS"");
        }
 else         if (round.get(j).equals(""PS"")) {
          nextRound.add(""PR"");
          nextRound.add(""PS"");
        }
 else         if (round.get(j).equals(""RS"")) {
          nextRound.add(""RS"");
          nextRound.add(""PS"");
        }
      }
      round=nextRound;
    }
    for (int i=1; i < n; i++) {
      ArrayList<String> lastRound=new ArrayList<String>();
      for (int j=0; j < round.size() / 2; j++) {
        String s1=round.get(2 * j);
        String s2=round.get(2 * j + 1);
        if (s1.compareTo(s2) < 0) {
          lastRound.add(s1 + s2);
        }
 else {
          lastRound.add(s2 + s1);
        }
      }
      round=lastRound;
    }
    if (round.size() != 1) {
      System.out.println(""FAIL"");
    }
    System.out.println(""Case #"" + caseNum + "": ""+ round.get(0));
  }
}"
6,"public static void main(String[] args){
  Scanner in=new Scanner(System.in);
  int num=in.nextInt();
  for (int i=0; i < num; i++) {
    boolean ayy=false;
    System.out.print(""Case #"" + (i + 1) + "": "");
    int n=in.nextInt();
    int nn=(int)Math.pow(2,n);
    int r=in.nextInt();
    int p=in.nextInt();
    int s=in.nextInt();
    char[] test=new char[nn];
    Arrays.fill(test,'p');
    if (p == nn) {
      System.out.print(""IMPOSSIBLE"");
      ayy=true;
    }
 else {
      boolean solvable=true;
      boolean unsolved=true;
      while (solvable) {
        for (int ii=nn - 1; ii >= 0; ii--) {
          if (test[ii] == 'p') {
            test[ii]='r';
            break;
          }
 else           if (test[ii] == 'r') {
            test[ii]='s';
            break;
          }
          if (ii == 0) {
            solvable=false;
            s=-1;
            break;
          }
 else {
            test[ii]='p';
          }
        }
        int cr=0;
        int cp=0;
        int cs=0;
        for (int j=0; j < nn; j++) {
          if (test[j] == 'p')           cp++;
          if (test[j] == 'r')           cr++;
          if (test[j] == 's')           cs++;
        }
        if (cr != r || cp != p || cs != s) {
          continue;
        }
        boolean decent=true;
        while (true && unsolved && decent) {
          int nnn=nn;
          char[] prev=new char[nn];
          char[] rec;
          for (int sp=0; sp < nn; sp++) {
            prev[sp]=test[sp];
          }
          while (nnn > 1) {
            nnn/=2;
            rec=new char[nnn];
            for (int mm=0; mm < nnn; mm++) {
              if (prev[mm * 2] == prev[mm * 2 + 1]) {
                nnn=0;
                decent=false;
                break;
              }
              if (prev[mm * 2] != 'r' && prev[mm * 2 + 1] != 'r') {
                rec[mm]='s';
              }
 else               if (prev[mm * 2] != 's' && prev[mm * 2 + 1] != 's') {
                rec[mm]='p';
              }
 else {
                rec[mm]='r';
              }
            }
            prev=rec;
          }
          if (decent) {
            unsolved=false;
          }
        }
        if (!unsolved) {
          for (int meh=0; meh < nn; meh++) {
            if (test[meh] == 'r')             System.out.print('R');
 else             if (test[meh] == 's')             System.out.print('S');
 else             System.out.print('P');
          }
          ayy=true;
          break;
        }
      }
    }
    if (!ayy)     System.out.print(""IMPOSSIBLE"");
    System.out.println();
  }
}"
7,"public static void main(String[] args) throws IOException {
  BufferedReader x=new BufferedReader(new InputStreamReader(System.in));
  int t=Integer.parseInt(x.readLine());
  for (int cases=1; cases <= t; cases++) {
    StringTokenizer st=new StringTokenizer(x.readLine());
    int n=Integer.parseInt(st.nextToken());
    int r=Integer.parseInt(st.nextToken());
    int p=Integer.parseInt(st.nextToken());
    int s=Integer.parseInt(st.nextToken());
    int num1=1;
    for (int i1=0; i1 < n; i1++) {
      num1*=2;
    }
    int num=num1;
    if (n % 2 == 1)     num++;
    num/=3;
    if ((r == num && s == num) || (s == num && p == num) || (r == num && p == num)) {
      if (n == 1) {
        if (r == 0)         System.out.println(""Case #"" + cases + "": PS"");
        if (s == 0)         System.out.println(""Case #"" + cases + "": PR"");
        if (p == 0)         System.out.println(""Case #"" + cases + "": RS"");
        continue;
      }
      String ans="""";
      if (n % 2 == 0) {
        if (p != num)         ans=""S"";
        if (r != num)         ans=""P"";
        if (s != num)         ans=""R"";
      }
 else {
        if (p != num)         ans=""P"";
        if (r != num)         ans=""R"";
        if (s != num)         ans=""S"";
      }
      for (int i=n - 1; i >= 0; i--) {
        String temp="""";
        for (int j=0; j < ans.length(); j++) {
          if (ans.charAt(j) == 'S') {
            if (i % 6 == 0 || i % 6 == 1 || i % 6 == 5) {
              temp+=""PS"";
            }
 else {
              temp+=""SP"";
            }
          }
          if (ans.charAt(j) == 'P') {
            if (i % 6 == 0 || i % 6 == 1 || i % 6 == 2) {
              temp+=""PR"";
            }
 else {
              temp+=""RP"";
            }
          }
          if (ans.charAt(j) == 'R') {
            if (i % 6 == 0 || i % 6 == 4 || i % 6 == 5) {
              temp+=""RS"";
            }
 else {
              temp+=""SR"";
            }
          }
        }
        ans=temp;
      }
      System.out.println(""Case #"" + cases + "": ""+ ans);
    }
 else {
      System.out.println(""Case #"" + cases + "": IMPOSSIBLE"");
    }
  }
}"
8,"public static void main(String[] args){
  String[][] table=new String[3][13];
  for (int i=0; i < 3; i++)   table[i][0]="""" + let[i];
  for (int n=0; n <= 11; n++)   for (int i=0; i < 3; i++) {
    String a=table[i][n], b=table[(i + 1) % 3][n];
    if (a.compareTo(b) < 0)     table[i][n + 1]=a + b;
 else     table[i][n + 1]=b + a;
  }
  Scanner in=new Scanner(System.in);
  int numRuns=in.nextInt();
  int[] count=new int[3];
  for (int run=1; run <= numRuns; run++) {
    int n=in.nextInt();
    count[1]=in.nextInt();
    count[0]=in.nextInt();
    count[2]=in.nextInt();
    boolean match=false;
    for (int i=0; i < 3; i++) {
      match=true;
      String game=table[i][n];
      for (int j=0; j < 3; j++)       if (game.length() - game.replace("""" + let[j],"""").length() != count[j])       match=false;
      if (match) {
        System.out.println(""Case #"" + run + "": ""+ game);
        break;
      }
    }
    if (!match)     System.out.println(""Case #"" + run + "": IMPOSSIBLE"");
  }
}"
9,"public static void main(String[] args) throws Exception {
  File inputFile=new File(""A-large.in"");
  Scanner in=new Scanner(inputFile);
  File outputFile=new File(""output.txt"");
  PrintWriter out=new PrintWriter(outputFile);
  String[][] answers=new String[13][3];
  answers[0]=new String[]{""P"",""R"",""S""};
  for (int n=1; n <= 12; n++) {
    String s1=answers[n - 1][0] + answers[n - 1][1];
    String s2=answers[n - 1][1] + answers[n - 1][0];
    answers[n][0]=s1.compareTo(s2) < 0 ? s1 : s2;
    s1=answers[n - 1][1] + answers[n - 1][2];
    s2=answers[n - 1][2] + answers[n - 1][1];
    answers[n][1]=s1.compareTo(s2) < 0 ? s1 : s2;
    s1=answers[n - 1][2] + answers[n - 1][0];
    s2=answers[n - 1][0] + answers[n - 1][2];
    answers[n][2]=s1.compareTo(s2) < 0 ? s1 : s2;
  }
  int T=in.nextInt();
  for (int t=0; t < T; t++) {
    int N=in.nextInt();
    int R=in.nextInt();
    int P=in.nextInt();
    int S=in.nextInt();
    String best=null;
    for (int i=0; i < 3; i++) {
      String cand=answers[N][i];
      int[] stats=new int[3];
      for (      char c : cand.toCharArray()) {
        if (c == 'R') {
          stats[0]++;
        }
 else         if (c == 'P') {
          stats[1]++;
        }
 else {
          stats[2]++;
        }
      }
      if (stats[0] == R && stats[1] == P && stats[2] == S) {
        if (best == null || cand.compareTo(best) < 0) {
          best=cand;
        }
      }
    }
    String answer=(best == null) ? ""IMPOSSIBLE"" : best;
    out.println(""Case #"" + (t + 1) + "": ""+ answer);
  }
  out.close();
}"
