id,code,path
30000000,"public static void main(String[] args) throws Exception {
        for (int casei : ZeroTo.get(in.nextInt())) {
            int n = in.nextInt();
            long m = in.nextLong();
            long max = 1L << (long) (n - 2);
            if (m <= max) {
                for (int i : ZeroTo.get(n)) {
                    boolean[] row = new boolean[n];
                    if (i < n - 1) {
                        row[i + 1] = true;
                        long coverEnd = 1L << (long) (n - i - 2);
                        long coverStart = Math.max(1, coverEnd / 2);
                        if (coverStart < m && m < coverEnd) {
                            long remain = m - coverStart;
                            long factor = coverStart / 2;
                            for (int j : FromTo.get(i + 2, n)) {
                                if (remain >= factor) {
                                    row[j] = true;
                                    remain -= factor;
                                }
                                factor = Math.max(1, factor / 2);
                            }
                        } else if (m >= coverEnd) {
                            for (int j : FromTo.get(i + 2, n))
                                row[j] = true;
                        }
                    }
                    for (boolean v : row);
                }
            } else {
            }
        }
}
",data/googlejam4_src/9/googlejam9.p027.B.main
30000001,"public static void main(String[] args) throws FileNotFoundException {
  int tests=s.nextInt();
  for (int test=1; test <= tests; test++) {
    String answer="""";
    int b=s.nextInt();
    BigInteger m=s.nextBigInteger();
    long max=(1l << (b - 2));
    if (m.compareTo(BigInteger.valueOf(max)) > 0) {
      answer=""IMPOSSIBLE"";
    }
 else {
      m=m.subtract(BigInteger.ONE);
      answer=""POSSIBLE\n"";
      for (int i=0; i < b; i++) {
        for (int j=0; j < b; j++) {
          if (i > 0 && i < j && j == b - 1) {
            if ((m.longValue() & (1l << (i - 1))) > 0) {
              answer+=""1"";
            }
 else {
              answer+=""0"";
            }
          }
 else {
            if (i < j) {
              answer=answer + ""1"";
            }
 else {
              answer=answer + ""0"";
            }
          }
        }
        if (i < b - 1) {
          answer+=""\n"";
        }
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p039.B.main
30000002,"public static void main(String[] args) throws Exception {
  long[] counts=new long[55];
  counts[0]=1;
  for (int i=1; i < 55; i++) {
    for (int j=0; j < i; j++) {
      counts[i]+=counts[j];
    }
  }
  int tc=in.nextInt();
  for (int cc=1; cc <= tc; cc++) {
    int b=in.nextInt();
    long t=in.nextLong();
    char[][] result=new char[b][b];
    for (    char[] a : result)     Arrays.fill(a,'0');
    for (int i=b - 1; i > 0; i--) {
      for (int j=i + 1; j < b; j++) {
        result[i][j]='1';
      }
    }
    if (t > counts[b - 1]) {
    }
 else {
      if (t == counts[b - 1]) {
        for (int i=1; i < b; i++) {
          result[0][i]='1';
        }
      }
 else {
        while (t > 0) {
          long bit=t & -t;
          int idx=0;
          while (1L << idx < bit)           idx++;
          if (idx >= b) {
            throw new Exception(""That's how you know you ....ed up"");
          }
          result[0][b - 1 - (idx + 1)]='1';
          t-=bit;
        }
      }
      for (int i=0; i < b; i++) {
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p044.B.main
30000003,"public static void main(String[] args) throws Exception {
  Slides object=new Slides();
  String className=object.getClass().getSimpleName();
  st.nextToken();
  int testCases=(int)st.nval;
  st.resetSyntax();
  st.wordChars(0,256);
  st.whitespaceChars(0,32);
  for (int tc=1; tc <= testCases; tc++) {
    st.nextToken();
    int B=Integer.valueOf(st.sval);
    st.nextToken();
    long M=Long.valueOf(st.sval);
    int[][] mat=new int[B][B];
    String result1=""IMPOSSIBLE"";
    long[] row=new long[B];
    for (int i=0; i < B - 1; i++)     for (int j=0; j < B - 1; j++) {
      if (i >= j) {
        continue;
      }
      mat[i][j]=1;
    }
    row[0]=row[1]=1;
    for (int i=2; i < B - 1; i++) {
      row[i]=2 * row[i - 1];
    }
    long requested=M;
    for (int i=B - 2; i >= 0; i--) {
      if (row[i] <= requested) {
        requested-=row[i];
        mat[i][B - 1]=1;
      }
    }
    if (requested == 0) {
      result1=""POSSIBLE\n"";
      for (int i=0; i < B; i++) {
        for (int j=0; j < B; j++)         result1+=mat[i][j];
        result1+=""\n"";
      }
    }
    String result=result1;
  }
}",data/googlejam4_src/9/googlejam9.p036.Slides.main
30000004,"/** 
 * @param args
 */
public static void main(String[] args){
  int numCases=input.nextInt();
  for (int n=0; n < numCases; n++) {
    int b=input.nextInt();
    int m=input.nextInt();
    int[][] test=new int[b][b];
    int[] road=new int[b];
    for (int i=0; i < b; i++)     road[i]=1;
    int ans=0, tmp=0, t=0, br=0;
    for (int i=b - 2; i >= 0; i--) {
      tmp=ans;
      t=0;
      br=i;
      for (int j=b - 1; j > i; j--) {
        ans+=road[j];
        t+=road[j];
        test[i][j]=1;
        if (t >= m)         break;
      }
      road[i]=ans - tmp;
      if (t >= m)       break;
    }
    if (t >= m) {
      if (t > m) {
        int tt=0;
        for (int i=br + 1; i < b; i++) {
          tt+=road[i];
          if (tt > m) {
            test[br][i]=0;
            tt-=road[i];
          }
        }
      }
      int pos=0;
      for (int i=b - 1; i >= 0; i--) {
        int tm=0;
        for (int j=0; j < b; j++)         tm+=test[i][j];
        if (tm > 0)         pos=i;
      }
      for (int i=0; i < pos; i++) {
        test[i][i + 1]=1;
      }
      for (int i=0; i < b; i++) {
        for (int j=0; j < b; j++)         System.out.printf(""%d"",test[i][j]);
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p212.b.main
30000005,"public static void main(String[] args) throws Exception {
  int t=r.nextInt();
  for (int i=0; i < t; i++) {
    int b=r.nextInt();
    long m=r.nextLong();
    if (m > (long)Math.pow(2,b - 2)) {
      continue;
    }
 else {
      String s=Long.toBinaryString(m - 1);
      int len=s.length();
      if (s.length() < b - 2) {
        for (int j=0; j < b - 2 - len; j++) {
          s=""0"" + s;
        }
      }
      if (b != 2) {
      }
      for (int j=1; j < b; j++) {
        for (int k=0; k <= j; k++) {
        }
        for (int k=j + 1; k < b; k++) {
        }
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p132.codejam.main
30000006,"public static void main(String[] args){
  int cases=sc.nextInt();
  for (int c=1; c <= cases; c++) {
    int B=sc.nextInt();
    long M=sc.nextLong();
    if (M > 1 << B - 2)     System.out.printf(""Case #%d: IMPOSSIBLE\n"",c);
 else {
      int[][] paths=new int[B][B];
      for (int i=0; i < B; i++) {
        for (int j=0; j < B; j++) {
          if (j > i)           paths[i][j]=1;
        }
      }
      char[] ch=Long.toBinaryString(M - 1).toCharArray();
      for (int i=0; i < B - 1; i++)       paths[0][i]=0;
      for (int i=B - ch.length - 1; i < B - 1; i++)       paths[0][i]=ch[i - B + ch.length + 1] - 48;
      for (int i=0; i < B; i++) {
        for (int j=0; j < B; j++) {
        }
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p206.Main.main
30000007,"public static void main(String[] args) throws IOException {
  int T=in.nextInt();
  for (int test=1; test <= T; test++) {
    int B=in.nextInt();
    long M=in.nextLong();
    long maxB=(long)Math.pow(2,B - 2);
    if (M <= maxB) {
      int[][] arr=new int[B][B];
      for (int r=1; r < B; r++) {
        for (int c=0; c < B; c++) {
          if (c > r)           arr[r][c]=1;
 else           arr[r][c]=0;
        }
      }
      M--;
      arr[0][B - 1]=1;
      String bin=Long.toBinaryString(M);
      int l=bin.length();
      for (int i=0; i < l; i++) {
        if (bin.charAt(l - i - 1) == '1') {
          arr[0][B - i - 2]=1;
        }
      }
      for (int i=0; i < B; i++) {
        for (int j=0; j < B; j++) {
        }
      }
    }
 else {
    }
  }
}",data/googlejam4_src/9/googlejam9.p056.Slides.main
30000008,"public static void main(String[] args){
  int t=sc.nextInt();
  for (int casei=1; casei <= t; casei++) {
    int b=sc.nextInt();
    long m=sc.nextLong();
    long ret1=1;
    for (int i1=0; i1 < b - 2; i1++) {
      ret1*=2;
    }
    long max=ret1;
    if (m > max) {
    }
 else {
      int[][] ret=new int[b][b];
      for (int i=1; i < b; i++) {
        for (int j=i + 1; j < b; j++) {
          ret[i][j]=1;
        }
      }
      if (m == max) {
        for (int j=1; j < b; j++) {
          ret[0][j]=1;
        }
      }
 else {
        int bit=b - 2;
        while (m > 0) {
          if (m % 2 != 0) {
            ret[0][bit]=1;
          }
          bit--;
          m/=2;
        }
      }
      for (int i=0; i < b; i++) {
        StringBuilder sb=new StringBuilder();
        for (int j=0; j < b; j++) {
          sb.append((char)('0' + ret[i][j]));
        }
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p081.Main_Round1C_2016_B.main
30000009,"public static void main(String[] args) throws Exception {
  int caseLength=in.nextInt();
  for (int caseNumber=1; caseNumber <= caseLength; caseNumber++) {
    int buildingCount=in.nextInt();
    long target=in.nextLong() - 1;
    long temp=Long.highestOneBit(target);
    int buildingNeeded=temp != 0 ? Long.numberOfTrailingZeros(temp) + 3 : 2;
    if (buildingCount < buildingNeeded) {
      continue;
    }
    boolean[] answer=new boolean[buildingCount];
    answer[0]=true;
    while (target > 0) {
      long temp2=Long.highestOneBit(target);
      answer[Long.numberOfTrailingZeros(temp2) + 1]=true;
      target-=temp2;
    }
    for (int i=buildingCount - 1; i >= 0; i--) {
    }
    out.newLine();
    for (int i=1; i < buildingCount; i++) {
      for (int j=0; j < i + 1; j++) {
      }
      for (int j=0; j < buildingCount - (i + 1); j++) {
      }
      out.newLine();
    }
  }
}",data/googlejam4_src/9/googlejam9.p060.Main.main
30000010,"public static void main(String[] args) throws FileNotFoundException {
  for (int i=1; i <= t; i++) {
    if (m > Math.pow(2,b - 2)) {
      continue;
    }
    int[][] s=new int[b][b];
    for (int j=1; j < b; j++) {
      for (int k=j + 1; k < b; k++) {
        s[j][k]=1;
      }
    }
    if (m == Math.pow(2,b - 2)) {
      s[0][b - 1]=1;
      m--;
    }
    for (int j=1; j < b - 1; j++) {
      if ((m & (long)Math.pow(2,b - 2 - j)) != 0) {
        s[0][j]=1;
      }
    }
    for (int j=0; j < b; j++) {
      for (int k=0; k < b; k++) {
      }
    }
  }
}",data/googlejam4_src/9/googlejam9.p071.Slides.main
30000011,"public static void main(String[] args) throws IOException {
    int T=Integer.parseInt(line);
    for (int t=1; t <= T; t++) {
      int B=Integer.parseInt(line.split("" "")[0]);
      long M=Long.parseLong(line.split("" "")[1]);
      String output=""Case #"" + t + "": "";
      if ((1L << (B - 2)) < M) {
        output+=""IMPOSSIBLE\n"";
        continue;
      }
      output+=""POSSIBLE\n"";
      for (int i=0; i < B; i++) {
        for (int j=0; j < B; j++) {
          int k=0;
          if (i < j) {
            if (i != 0)             k=1;
 else             if (j == B - 1)             k=1;
 else             if (((1L << (B - j - 2)) & (M - 1)) != 0)             k=1;
          }
          output+=k;
        }
        output+=""\n"";
      }
    }
 }",data/googlejam4_src/9/googlejam9.p046.b.main
30000012,"public static void main(String[] args){
   int nbLig=in.nextInt();
  for (int lig=0; lig < nbLig; lig++) {
    int nBuild=in.nextInt();
    long nMouv=in.nextLong();
    int[][] slides=new int[nBuild][nBuild];
    if (((long)Math.pow(2,nBuild - 2)) < nMouv) {
    }
 else {
      for (int i=0; i < nBuild; i++) {
        for (int j=i + 1; j < nBuild; j++) {
          if (j != nBuild - 1 || i == 0) {
            slides[i][j]=1;
          }
 else {
            slides[i][j]=(int)(((nMouv - 1) >> (i - 1)) % 2);
          }
        }
      }
      for (int i=0; i < nBuild; i++) {
        for (int j=0; j < nBuild; j++) {
        }
      }
    }
  }
 }",data/googlejam4_src/9/googlejam9.p125.B.main
30000013,"public static void main(String... orange) throws Exception {
  int numCases=input.nextInt();
  for (int n=0; n < numCases; n++) {
    int B=input.nextInt();
    long M=input.nextLong();
    if (M > (1L << (B - 2))) {
      continue;
    }
    boolean[][] slides=new boolean[B][B];
    if (M == (1L << (B - 2))) {
      for (int i=0; i < B; i++)       for (int j=i + 1; j < B; j++)       slides[i][j]=true;
    }
    for (int i=0; i + 1 < B; i++)     for (int j=i + 1; j + 1 < B; j++)     slides[i][j]=true;
    for (int i=0; i + 2 < B; i++)     if ((M & (1L << i)) > 0)     slides[i + 1][B - 1]=true;
    for (int i=0; i < B; i++) {
      for (int j=0; j < B; j++)       System.out.print(slides[i][j] ? '1' : '0');
    }
  }
}",data/googlejam4_src/9/googlejam9.p001.B.main
30000014,"public static void main(String[] args) throws Exception {
  for (int t=1; t <= T; ++t) {
    long maxWays=0x01 << (B - 2);
    if (M > maxWays) {
      continue;
    }
    if (B == 2)     output.println(""01"");
 else {
      long maxNodeWays=0x01 << (B - 3);
      for (int slide=1; slide < B - 1; ++slide) {
        if (M >= maxNodeWays) {
          M-=maxNodeWays;
        }
        maxNodeWays/=2;
      }
      if (M > 0)       output.println(""1"");
    }
    for (int b=1; b < B - 1; ++b) {
      for (int slide=0; slide < B; ++slide)       if (slide <= b)       output.print(""0"");
    }
    for (int slide=0; slide < B; ++slide)     output.print(""0"");
  }
}",data/googlejam4_src/9/googlejam9.p198.Main.main
